[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000679s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.011011s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011101s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000334s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000355s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000197s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000359s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001394s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --START--
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000385s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000434s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001342s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001654s ]
[ 2015-02-17T21:56:04+08:00 ] /thinkphpTest/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.002914s ]
