[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001955s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.002027s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  dashboard 9ce4b9130cad61dbd0bbd49942681a43.php 第 42 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  memo 9ce4b9130cad61dbd0bbd49942681a43.php 第 46 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  new_memo 9ce4b9130cad61dbd0bbd49942681a43.php 第 50 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_memo 9ce4b9130cad61dbd0bbd49942681a43.php 第 51 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  new_article 9ce4b9130cad61dbd0bbd49942681a43.php 第 58 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_article 9ce4b9130cad61dbd0bbd49942681a43.php 第 59 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_draft 9ce4b9130cad61dbd0bbd49942681a43.php 第 60 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.017307s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017378s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000425s ]
